_id,Rainfall_mm,Year,Month_String,Month
989,26.2521,1983,May,5
990,13.9626,1983,June,6
991,58.5618,1983,July,7
992,105.788,1983,August,8
993,15.65,1983,September,9
994,5.69994,1983,October,10
995,0.92442,1983,November,11
996,8.60111,1983,December,12
997,7.77251,1984,January,1
998,17.4694,1984,February,2
999,26.3116,1984,March,3
1000,22.372,1984,April,4
1001,13.4199,1984,May,5
1002,11.7076,1984,June,6
1003,52.6636,1984,July,7
1004,80.2843,1984,August,8
1005,28.9083,1984,September,9
1006,1.63675,1984,October,10
1007,6.73564,1984,November,11
1008,12.675,1984,December,12
1009,16.1033,1985,January,1
1010,4.97319,1985,February,2
1011,12.0366,1985,March,3
1012,35.0544,1985,April,4
1013,13.6178,1985,May,5
1014,7.46966,1985,June,6
1015,57.1505,1985,July,7
1016,54.7685,1985,August,8
1017,4.22109,1985,September,9
1018,8.75089,1985,October,10
1019,1.67728,1985,November,11
1020,33.702,1985,December,12
1021,5.4159,1986,January,1
1022,37.8958,1986,February,2
1023,42.6173,1986,March,3
1024,23.7822,1986,April,4
1025,16.0415,1986,May,5
1026,23.4765,1986,June,6
1027,47.7411,1986,July,7
1028,94.5262,1986,August,8
1029,9.89575,1986,September,9
1030,4.42194,1986,October,10
1031,25.3839,1986,November,11
1032,18.2096,1986,December,12
1033,5.30938,1987,January,1
1034,29.1888,1987,February,2
1035,54.0587,1987,March,3
1036,21.1257,1987,April,4
1037,30.0705,1987,May,5
1038,25.6525,1987,June,6
1039,19.9808,1987,July,7
1040,23.3548,1987,August,8
1041,3.8747,1987,September,9
1042,23.0345,1987,October,10
1043,0.29129,1987,November,11
1044,3.28792,1987,December,12
1045,19.4444,1988,January,1
1046,17.2945,1988,February,2
1047,53.0401,1988,March,3
1048,8.47749,1988,April,4
1049,3.33549,1988,May,5
1050,17.9278,1988,June,6
1051,100.4,1988,July,7
1052,57.4279,1988,August,8
1053,23.7982,1988,September,9
1054,3.53334,1988,October,10
1055,0.71824,1988,November,11
1056,17.8356,1988,December,12
1057,16.5354,1989,January,1
1058,12.2605,1989,February,2
1059,41.2204,1989,March,3
1060,9.66336,1989,April,4
1061,14.575,1989,May,5
1062,14.3944,1989,June,6
1063,111.255,1989,July,7
1064,48.2808,1989,August,8
1065,12.1511,1989,September,9
1066,3.13078,1989,October,10
1067,8.06886,1989,November,11
1068,23.0545,1989,December,12
1069,37.5664,1990,January,1
1070,57.1569,1990,February,2
1071,35.7753,1990,March,3
1072,17.4093,1990,April,4
1073,12.065,1990,May,5
1074,10.1119,1990,June,6
1075,27.8177,1990,July,7
1076,100.131,1990,August,8
1077,39.8935,1990,September,9
1078,5.64027,1990,October,10
1079,3.57717,1990,November,11
1080,39.7687,1990,December,12
1081,23.5797,1991,January,1
1082,42.6492,1991,February,2
1083,42.4584,1991,March,3
1084,43.043,1991,April,4
1085,26.5375,1991,May,5
1086,10.7911,1991,June,6
1087,20.3078,1991,July,7
1088,33.49,1991,August,8
1089,30.1148,1991,September,9
1090,2.17714,1991,October,10
1091,4.33636,1991,November,11
1092,9.12149,1991,December,12
1093,53.9661,1992,January,1
1094,29.1195,1992,February,2
1095,38.7504,1992,March,3
1096,40.764,1992,April,4
1097,23.8701,1992,May,5
1098,5.56877,1992,June,6
1099,54.8721,1992,July,7
1100,69.1804,1992,August,8
1101,28.7059,1992,September,9
1102,12.1746,1992,October,10
1103,7.92377,1992,November,11
1104,13.6849,1992,December,12
1105,29.6088,1993,January,1
1106,15.8378,1993,February,2
1107,32.1792,1993,March,3
1108,19.6552,1993,April,4
1109,15.3862,1993,May,5
1110,19.6844,1993,June,6
1111,73.2203,1993,July,7
1112,11.8972,1993,August,8
1113,18.1405,1993,September,9
1114,2.95508,1993,October,10
1115,9.43055,1993,November,11
1116,0.80544,1993,December,12
1117,19.5592,1994,January,1
1118,29.1929,1994,February,2
1119,23.597,1994,March,3
1120,26.8942,1994,April,4
1121,19.8453,1994,May,5
1122,21.5863,1994,June,6
1123,116.973,1994,July,7
1124,83.9455,1994,August,8
1125,42.8355,1994,September,9
1126,10.3939,1994,October,10
1127,3.08639,1994,November,11
1128,25.3666,1994,December,12
1129,9.26441,1995,January,1
1130,30.1864,1995,February,2
1131,23.1022,1995,March,3
1132,44.2381,1995,April,4
1133,11.1759,1995,May,5
1134,15.1367,1995,June,6
1135,97.9396,1995,July,7
1136,58.5468,1995,August,8
1137,21.9999,1995,September,9
1138,14.0496,1995,October,10
1139,5.24833,1995,November,11
1140,21.7521,1995,December,12
1141,27.9485,1996,January,1
1142,40.7236,1996,February,2
1143,44.5704,1996,March,3
1144,24.3362,1996,April,4
1145,33.005,1996,May,5
1146,45.5516,1996,June,6
1147,37.5503,1996,July,7
1148,54.5763,1996,August,8
1149,13.2122,1996,September,9
1150,11.4699,1996,October,10
1151,3.83853,1996,November,11
1152,5.86822,1996,December,12
1153,23.2765,1997,January,1
1154,5.92436,1997,February,2
1155,38.9486,1997,March,3
1156,39.8522,1997,April,4
1157,18.4543,1997,May,5
1158,32.5392,1997,June,6
1159,61.0494,1997,July,7
1160,84.8412,1997,August,8
1161,11.9138,1997,September,9
1162,28.5444,1997,October,10
1163,8.86339,1997,November,11
1164,13.9214,1997,December,12
1165,32.6726,1998,January,1
1166,39.6264,1998,February,2
1167,37.2368,1998,March,3
1168,31.8033,1998,April,4
1169,21.8943,1998,May,5
1170,25.044,1998,June,6
1171,49.0101,1998,July,7
1172,28.9697,1998,August,8
1173,23.637,1998,September,9
1174,9.91221,1998,October,10
1175,0.16185,1998,November,11
1176,0.94575,1998,December,12
1177,32.9247,1999,January,1
1178,36.1811,1999,February,2
1179,23.3168,1999,March,3
1180,18.1675,1999,April,4
1181,9.97722,1999,May,5
1182,9.80438,1999,June,6
1183,38.2667,1999,July,7
1184,45.1223,1999,August,8
1185,19.1532,1999,September,9
1186,6.80608,1999,October,10
1187,13.6544,1999,November,11
1188,0.24637,1999,December,12
1189,19.311,2000,January,1
1190,14.2357,2000,February,2
1191,8.70368,2000,March,3
1192,3.96081,2000,April,4
1193,7.20656,2000,May,5
1194,16.5511,2000,June,6
1195,57.1515,2000,July,7
1196,32.6807,2000,August,8
1197,18.3118,2000,September,9
1198,3.36167,2000,October,10
1199,4.03651,2000,November,11
1200,6.28593,2000,December,12
1201,3.98006,2001,January,1
1202,7.90859,2001,February,2
1203,16.1858,2001,March,3
1204,21.0362,2001,April,4
1205,9.71545,2001,May,5
1206,42.8297,2001,June,6
1207,70.3518,2001,July,7
1208,28.1631,2001,August,8
1209,12.5674,2001,September,9
1210,2.88224,2001,October,10
1211,11.1675,2001,November,11
1212,7.07034,2001,December,12
1213,8.26817,2002,January,1
1214,24.8489,2002,February,2
1215,23.0497,2002,March,3
1216,20.2869,2002,April,4
1217,10.8048,2002,May,5
1218,25.2618,2002,June,6
1219,11.4863,2002,July,7
1220,34.2267,2002,August,8
1221,23.8329,2002,September,9
1222,4.25136,2002,October,10
1223,9.99053,2002,November,11
1224,13.1605,2002,December,12
1225,12.9862,2003,January,1
1226,62.8046,2003,February,2
1227,31.7944,2003,March,3
1228,23.1098,2003,April,4
1229,20.0575,2003,May,5
1230,13.7782,2003,June,6
1231,106.583,2003,July,7
1232,67.9582,2003,August,8
1233,25.9643,2003,September,9
1234,4.65043,2003,October,10
1235,8.94368,2003,November,11
1236,7.45678,2003,December,12
1237,41.6249,2004,January,1
1238,15.2825,2004,February,2
1239,5.57348,2004,March,3
1240,25.9202,2004,April,4
1241,13.1468,2004,May,5
1242,19.4183,2004,June,6
1243,23.6964,2004,July,7
1244,55.6869,2004,August,8
1245,15.1627,2004,September,9
1246,13.4192,2004,October,10
1247,4.30319,2004,November,11
1248,24.4978,2004,December,12
1249,37.2572,2005,January,1
1250,58.6492,2005,February,2
1251,40.9373,2005,March,3
1252,21.9531,2005,April,4
1253,27.8063,2005,May,5
1254,7.38339,2005,June,6
1255,56.0509,2005,July,7
1256,27.6218,2005,August,8
1257,28.3787,2005,September,9
1258,5.59639,2005,October,10
1259,8.06399,2005,November,11
1260,3.99261,2005,December,12
1261,28.5383,2006,January,1
1262,15.7051,2006,February,2
1263,27.5402,2006,March,3
1264,13.3447,2006,April,4
1265,9.25805,2006,May,5
1266,19.7032,2006,June,6
1267,56.8962,2006,July,7
1268,92.8018,2006,August,8
1269,29.8866,2006,September,9
1270,9.6685,2006,October,10
1271,18.3344,2006,November,11
1272,43.9717,2006,December,12
1273,3.0348,2007,January,1
1274,49.8075,2007,February,2
1275,63.3527,2007,March,3
1276,10.1817,2007,April,4
1277,10.8274,2007,May,5
1278,37.8191,2007,June,6
1279,60.6515,2007,July,7
1280,42.5053,2007,August,8
1281,28.5902,2007,September,9
1282,0.73853,2007,October,10
1283,2.19563,2007,November,11
1284,8.77559,2007,December,12
1285,43.5298,2008,January,1
1286,13.6756,2008,February,2
1287,2.83751,2008,March,3
1288,37.4197,2008,April,4
1289,16.6802,2008,May,5
1290,26.2055,2008,June,6
1291,48.5093,2008,July,7
1292,90.4538,2008,August,8
1293,18.479,2008,September,9
1294,6.49189,2008,October,10
1295,4.59947,2008,November,11
1296,28.3541,2008,December,12
1297,34.3593,2009,January,1
1298,33.2747,2009,February,2
1299,28.2929,2009,March,3
1300,33.3443,2009,April,4
1301,11.2742,2009,May,5
1302,18.2574,2009,June,6
1303,50.6734,2009,July,7
1304,30.7856,2009,August,8
1305,15.1353,2009,September,9
1306,3.9578,2009,October,10
1307,6.9783,2009,November,11
1308,16.272,2009,December,12
1309,9.37983,2010,January,1
1310,31.8993,2010,February,2
1311,20.63,2010,March,3
1312,16.3773,2010,April,4
1313,23.014,2010,May,5
1314,25.6214,2010,June,6
1315,105.22,2010,July,7
1316,113.186,2010,August,8
1317,30.6715,2010,September,9
1318,4.11534,2010,October,10
1319,1.60891,2010,November,11
1320,3.23522,2010,December,12
1321,11.1674,2011,January,1
1322,58.0763,2011,February,2
1323,30.0545,2011,March,3
1324,28.063,2011,April,4
1325,10.2389,2011,May,5
1326,16.105,2011,June,6
1327,37.5047,2011,July,7
1328,80.6547,2011,August,8
1329,31.7056,2011,September,9
1330,8.60502,2011,October,10
1331,6.73557,2011,November,11
1332,2.56967,2011,December,12
1333,21.7436,2012,January,1
1334,19.6736,2012,February,2
1335,22.278,2012,March,3
1336,34.6903,2012,April,4
1337,13.0843,2012,May,5
1338,7.12074,2012,June,6
1339,26.7597,2012,July,7
1340,45.5465,2012,August,8
1341,51.5706,2012,September,9
1342,6.17664,2012,October,10
1343,3.56023,2012,November,11
1344,21.8186,2012,December,12
1345,12.3896,2013,January,1
1346,46.5909,2013,February,2
1347,53.8636,2013,March,3
1348,33.5154,2013,April,4
1349,7.84502,2013,May,5
1350,37.7994,2013,June,6
1351,45.7747,2013,July,7
1352,72.268,2013,August,8
1353,16.0794,2013,September,9
1354,8.1558,2013,October,10
1355,13.5567,2013,November,11
1356,2.00393,2013,December,12
1357,11.4887,2014,January,1
1358,22.7004,2014,February,2
1359,55.8119,2014,March,3
1360,36.274,2014,April,4
1361,20.0702,2014,May,5
1362,11.8501,2014,June,6
1363,30.8147,2014,July,7
1364,30.2337,2014,August,8
1365,35.8764,2014,September,9
1366,9.75995,2014,October,10
1367,10.1953,2014,November,11
1368,0.41147,2014,December,12
1369,16.3651,2015,January,1
1370,30.9235,2015,February,2
1371,70.0159,2015,March,3
1372,34.0755,2015,April,4
1373,19.6929,2015,May,5
1374,28.986,2015,June,6
1375,72.6114,2015,July,7
1376,69.5808,2015,August,8
1377,26.1938,2015,September,9
1378,14.1419,2015,October,10
1379,9.09601,2015,November,11
1380,6.00726,2015,December,12
1381,16.1749,2016,January,1
1382,8.36436,2016,February,2
1383,57.6948,2016,March,3
1384,20.2518,2016,April,4
1385,18.1856,2016,May,5
1386,23.6518,2016,June,6
1387,56.4818,2016,July,7
1388,60.6061,2016,August,8
1389,13.7694,2016,September,9
1390,1.07552,2016,October,10
1391,2.8848,2016,November,11
1392,7.82298,2016,December,12
