_id,Rainfall_mm,Year,Month_String,Month
200,105.647,1917,August,8
201,79.48,1917,September,9
202,11.5993,1917,October,10
203,0.10584,1917,November,11
204,18.1581,1917,December,12
205,3.67758,1918,January,1
206,4.3403,1918,February,2
207,52.7667,1918,March,3
208,31.7855,1918,April,4
209,3.40381,1918,May,5
210,16.202,1918,June,6
211,10.716,1918,July,7
212,23.632,1918,August,8
213,12.0347,1918,September,9
214,1.94249,1918,October,10
215,6.6346,1918,November,11
216,36.2052,1918,December,12
217,38.0603,1919,January,1
218,18.1172,1919,February,2
219,27.477,1919,March,3
220,20.9388,1919,April,4
221,10.555,1919,May,5
222,2.64043,1919,June,6
223,69.2101,1919,July,7
224,74.5446,1919,August,8
225,16.1689,1919,September,9
226,1.24296,1919,October,10
227,0.64859,1919,November,11
228,38.828,1919,December,12
229,35.7668,1920,January,1
230,22.6303,1920,February,2
231,36.08,1920,March,3
232,22.3086,1920,April,4
233,16.5041,1920,May,5
234,13.6575,1920,June,6
235,19.9772,1920,July,7
236,16.8843,1920,August,8
237,11.888,1920,September,9
238,1.16082,1920,October,10
239,4.45309,1920,November,11
240,3.59087,1920,December,12
241,9.92568,1921,January,1
242,4.74141,1921,February,2
243,14.8642,1921,March,3
244,16.3766,1921,April,4
245,9.02189,1921,May,5
246,12.5584,1921,June,6
247,72.2176,1921,July,7
248,89.2192,1921,August,8
249,16.9813,1921,September,9
250,9.28153,1921,October,10
251,2.22099,1921,November,11
252,33.1487,1921,December,12
253,18.7877,1922,January,1
254,39.9547,1922,February,2
255,15.9975,1922,March,3
256,8.44737,1922,April,4
257,18.9858,1922,May,5
258,12.9477,1922,June,6
259,29.9843,1922,July,7
260,32.035,1922,August,8
261,43.9223,1922,September,9
262,4.74138,1922,October,10
263,0.19436,1922,November,11
264,15.6486,1922,December,12
265,35.9669,1923,January,1
266,40.3208,1923,February,2
267,23.3626,1923,March,3
268,17.9709,1923,April,4
269,23.7718,1923,May,5
270,4.37135,1923,June,6
271,36.6953,1923,July,7
272,83.1012,1923,August,8
273,7.74047,1923,September,9
274,9.61971,1923,October,10
275,0.5534,1923,November,11
276,9.77863,1923,December,12
277,27.7769,1924,January,1
278,52.4768,1924,February,2
279,18.5206,1924,March,3
280,41.0689,1924,April,4
281,40.4323,1924,May,5
282,1.17319,1924,June,6
283,47.4231,1924,July,7
284,21.8061,1924,August,8
285,46.2479,1924,September,9
286,0.64327,1924,October,10
287,4.09587,1924,November,11
288,41.6146,1924,December,12
289,14.2756,1925,January,1
290,15.1582,1925,February,2
291,9.02434,1925,March,3
292,7.80475,1925,April,4
293,32.2283,1925,May,5
294,16.5857,1925,June,6
295,55.3342,1925,July,7
296,34.2365,1925,August,8
297,16.3121,1925,September,9
298,11.9817,1925,October,10
299,9.60262,1925,November,11
300,0.91499,1925,December,12
301,24.4413,1926,January,1
302,12.882,1926,February,2
303,63.5215,1926,March,3
304,31.4509,1926,April,4
305,20.4858,1926,May,5
306,8.98922,1926,June,6
307,34.713,1926,July,7
308,74.1229,1926,August,8
309,42.7293,1926,September,9
310,0.49156,1926,October,10
311,0.52748,1926,November,11
312,18.7861,1926,December,12
313,13.352,1927,January,1
314,30.2914,1927,February,2
315,20.1701,1927,March,3
316,14.6287,1927,April,4
317,8.23821,1927,May,5
318,8.39599,1927,June,6
319,94.2809,1927,July,7
320,29.1965,1927,August,8
321,13.8769,1927,September,9
322,1.65613,1927,October,10
323,1.01834,1927,November,11
324,42.566,1927,December,12
325,13.1354,1928,January,1
326,34.7922,1928,February,2
327,27.0924,1928,March,3
328,14.9065,1928,April,4
329,3.78452,1928,May,5
330,5.63625,1928,June,6
331,24.1495,1928,July,7
332,37.0993,1928,August,8
333,29.5816,1928,September,9
334,4.76729,1928,October,10
335,19.6052,1928,November,11
336,20.3335,1928,December,12
337,25.9579,1929,January,1
338,18.6647,1929,February,2
339,8.94673,1929,March,3
340,12.8088,1929,April,4
341,10.8868,1929,May,5
342,14.4611,1929,June,6
343,145.618,1929,July,7
344,89.806,1929,August,8
345,3.18438,1929,September,9
346,6.89097,1929,October,10
347,8.4176,1929,November,11
348,22.8815,1929,December,12
349,32.3071,1930,January,1
350,16.2961,1930,February,2
351,16.7301,1930,March,3
352,55.3931,1930,April,4
353,11.4558,1930,May,5
354,15.2333,1930,June,6
355,93.8898,1930,July,7
356,13.0779,1930,August,8
357,19.8918,1930,September,9
358,4.73209,1930,October,10
359,0.9404,1930,November,11
360,3.91869,1930,December,12
361,31.205,1931,January,1
362,52.4215,1931,February,2
363,12.8384,1931,March,3
364,24.4085,1931,April,4
365,26.5103,1931,May,5
366,25.5995,1931,June,6
367,55.9034,1931,July,7
368,42.1351,1931,August,8
369,9.9938,1931,September,9
370,16.0189,1931,October,10
371,3.87184,1931,November,11
372,4.63594,1931,December,12
373,26.7392,1932,January,1
374,10.7904,1932,February,2
375,46.6057,1932,March,3
376,8.74017,1932,April,4
377,10.6746,1932,May,5
378,15.674,1932,June,6
379,113.954,1932,July,7
380,61.3524,1932,August,8
381,4.39812,1932,September,9
382,4.01409,1932,October,10
383,0.43016,1932,November,11
384,12.8274,1932,December,12
385,25.4788,1933,January,1
386,21.9499,1933,February,2
387,39.5348,1933,March,3
388,33.2832,1933,April,4
389,16.7729,1933,May,5
390,16.269,1933,June,6
391,75.3341,1933,July,7
392,102.081,1933,August,8
393,23.0784,1933,September,9
394,3.98831,1933,October,10
395,2.72915,1933,November,11
396,14.1313,1933,December,12
397,19.2027,1934,January,1
398,14.1642,1934,February,2
399,31.5287,1934,March,3
400,31.4163,1934,April,4
401,17.8854,1934,May,5
402,16.6664,1934,June,6
403,26.888,1934,July,7
404,83.3958,1934,August,8
405,9.9666,1934,September,9
406,2.8108,1934,October,10
407,2.35865,1934,November,11
408,16.5685,1934,December,12
409,50.2232,1935,January,1
410,55.8465,1935,February,2
411,23.9489,1935,March,3
412,58.9393,1935,April,4
413,10.5603,1935,May,5
414,10.4809,1935,June,6
415,43.4936,1935,July,7
416,42.2543,1935,August,8
417,14.5429,1935,September,9
418,8.22242,1935,October,10
419,8.05263,1935,November,11
420,2.97032,1935,December,12
421,17.1451,1936,January,1
422,57.0899,1936,February,2
423,38.0715,1936,March,3
424,18.2543,1936,April,4
425,27.1927,1936,May,5
426,27.4385,1936,June,6
427,25.6255,1936,July,7
428,19.6528,1936,August,8
429,15.4076,1936,September,9
430,5.47314,1936,October,10
431,12.3342,1936,November,11
432,16.3721,1936,December,12
433,20.7952,1937,January,1
434,57.7165,1937,February,2
435,32.6619,1937,March,3
436,47.3676,1937,April,4
437,7.45861,1937,May,5
438,5.52735,1937,June,6
439,97.1825,1937,July,7
440,2.46915,1937,August,8
441,16.3548,1937,September,9
442,8.56207,1937,October,10
443,2.07194,1937,November,11
444,17.0892,1937,December,12
445,52.7538,1938,January,1
446,23.2189,1938,February,2
447,20.393,1938,March,3
448,24.7071,1938,April,4
449,3.56816,1938,May,5
450,32.8899,1938,June,6
451,48.888,1938,July,7
452,38.309,1938,August,8
453,2.96804,1938,September,9
454,3.88538,1938,October,10
455,2.05724,1938,November,11
456,16.8484,1938,December,12
457,21.8429,1939,January,1
458,76.0329,1939,February,2
459,64.9968,1939,March,3
460,33.474,1939,April,4
461,5.93996,1939,May,5
462,7.81959,1939,June,6
463,19.9689,1939,July,7
464,16.0148,1939,August,8
465,5.5909,1939,September,9
466,8.54513,1939,October,10
467,1.50351,1939,November,11
468,8.10614,1939,December,12
469,43.1928,1940,January,1
470,30.6731,1940,February,2
471,26.4761,1940,March,3
472,19.2397,1940,April,4
473,21.4832,1940,May,5
474,35.6621,1940,June,6
475,18.5754,1940,July,7
476,35.6084,1940,August,8
477,9.7331,1940,September,9
478,3.70525,1940,October,10
479,4.16205,1940,November,11
480,7.2564,1940,December,12
481,18.3481,1941,January,1
482,12.1747,1941,February,2
483,24.0993,1941,March,3
484,32.6426,1941,April,4
